2026/06/12 10:36:15 WARNING: MongoDB connect error: server selection error: context deadline exceeded, current topology: { Type: Unknown, Servers: [{ Addr: localhost:27017, Type: Unknown, Last error: dial tcp [::1]:27017: connectex: No connection could be made because the target machine actively refused it. }, ] }. Falling back to In-Memory User Repository.
2026/06/12 10:36:15 listening on http://localhost:8080
2026/06/12 10:36:38 GET /health 200 0s
2026/06/12 10:38:27 OPTIONS /api/v1/auth/me 204 0s
2026/06/12 10:38:27 GET /api/v1/auth/me 404 11ms
2026/06/12 10:42:40 OPTIONS /api/v1/auth/login 204 1ms
2026/06/12 10:42:40 POST /api/v1/auth/login 401 12ms
2026/06/12 10:42:53 OPTIONS /api/v1/auth/register 204 0s
2026/06/12 10:42:53 POST /api/v1/auth/register 201 126ms
2026/06/12 10:42:53 OPTIONS /api/v1/auth/login 204 0s
2026/06/12 10:42:53 POST /api/v1/auth/login 200 87ms
2026/06/12 10:42:55 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 10:42:55 GET /api/v1/markets/market-1 200 11ms
2026/06/12 10:42:55 OPTIONS /api/v1/watchlist 204 0s
2026/06/12 10:42:55 GET /api/v1/watchlist 200 0s
2026/06/12 10:42:58 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:02 OPTIONS /api/v1/markets/market-1 204 1ms
2026/06/12 10:46:02 GET /api/v1/markets/market-1 200 10ms
2026/06/12 10:46:04 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:06 GET /api/v1/markets/market-1 200 2ms
2026/06/12 10:46:08 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 10:46:08 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:10 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:12 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:14 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 10:46:14 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:16 GET /api/v1/markets/market-1 200 2ms
2026/06/12 10:46:18 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:20 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 10:46:20 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:22 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:24 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:26 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 10:46:26 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:28 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:30 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:32 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 10:46:32 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:34 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:36 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:38 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 10:46:38 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:40 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:42 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:44 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 10:46:44 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:46 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:48 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:50 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 10:46:50 GET /api/v1/markets/market-1 200 0s
2026/06/12 10:46:52 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:05:20 OPTIONS /api/v1/watchlist 204 1ms
2026/06/12 11:05:20 OPTIONS /api/v1/markets/market-1 204 1ms
2026/06/12 11:05:20 GET /api/v1/markets/market-1 200 8ms
2026/06/12 11:05:20 GET /api/v1/watchlist 200 7ms
2026/06/12 11:05:22 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:05:24 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:05:26 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:05:26 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:05:28 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:05:30 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:06:34 GET /api 404 5ms
2026/06/12 11:06:34 GET / 404 0s
2026/06/12 11:06:34 GET /api 404 0s
2026/06/12 11:06:34 GET /health 200 2ms
2026/06/12 11:07:57 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:07:57 GET /api/v1/markets/market-1 200 12ms
2026/06/12 11:11:54 GET / 404 2ms
2026/06/12 11:11:54 GET /api 404 0s
2026/06/12 11:11:54 GET /health 200 1ms
2026/06/12 11:13:08 OPTIONS /api/v1/auth/login 204 0s
2026/06/12 11:13:08 POST /api/v1/auth/login 401 259ms
2026/06/12 11:13:22 OPTIONS /api/v1/auth/register 204 1ms
2026/06/12 11:13:22 POST /api/v1/auth/register 409 78ms
2026/06/12 11:13:34 OPTIONS /api/v1/auth/login 204 0s
2026/06/12 11:13:34 POST /api/v1/auth/login 200 112ms
2026/06/12 11:13:35 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:13:35 OPTIONS /api/v1/watchlist 204 0s
2026/06/12 11:13:35 GET /api/v1/markets/market-1 200 2ms
2026/06/12 11:13:35 GET /api/v1/watchlist 200 2ms
2026/06/12 11:13:37 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:39 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:41 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:13:41 GET /api/v1/markets/market-1 200 3ms
2026/06/12 11:13:43 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:45 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:48 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:13:48 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:48 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:13:48 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:50 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:51 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:52 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:54 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:13:54 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:54 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:13:54 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:56 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:57 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:13:58 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:00 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:00 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:00 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:00 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:02 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:02 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:04 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:05 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:05 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:06 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:06 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:08 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:09 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:11 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:11 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:11 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:13 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:13 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:14 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:15 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:17 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:17 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:17 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:19 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:19 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:20 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:21 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:23 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:23 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:23 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:25 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:25 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:26 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:27 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:29 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:29 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:29 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:31 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:31 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:32 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:33 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:35 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:35 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:35 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:38 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:40 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:40 GET /api/v1/markets/market-1 200 3ms
2026/06/12 11:14:43 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:46 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:46 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:49 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:52 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:52 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:55 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:14:58 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:14:58 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:00 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:03 GET /api/v1/markets/market-1 200 1ms
2026/06/12 11:15:05 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:05 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:08 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:11 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:11 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:14 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:17 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:17 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:20 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:23 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:23 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:26 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:29 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:29 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:32 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:35 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:35 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:38 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:40 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:40 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:43 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:46 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:46 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:49 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:52 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:52 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:55 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:15:58 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:15:58 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:01 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:04 OPTIONS /api/v1/markets/market-1 204 0s
2026/06/12 11:16:04 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:07 GET /api/v1/markets/market-1 200 0s
2026/06/12 11:16:10 OPTIONS /api/v1/markets/market-1 204 0s
